Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
238;A;A3;AT;1;15:16.50;00:01:1030;Trial;loaded;0
238;A;A3;AT;1;15:18.53;02:04:124709;MediumBar;Correct placement;0
238;A;A3;AT;1;15:19.18;02:29:149696;ShortBar;Incorrect placement;1
238;A;A3;AT;1;15:19.28;02:39:159431;ShortBar;Correct placement;1
238;A;A3;AT;1;15:19.39;02:50:170141;LongBar;Incorrect placement;2
238;A;A3;AT;1;15:19.47;02:58:178654;LongBar;Incorrect placement;2
238;A;A3;AT;1;15:20.00;03:11:191474;LongBar;Correct placement;2
238;A;A3;AT;1;15:20.14;03:25:205544;LongBar;Correct placement;3
238;A;A3;AT;1;15:20.26;03:37:217669;ShortBar;Correct placement;4
238;A;A3;AT;1;15:20.26;03:37:217669;Trial;complete;4
