Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
145;D;S3;AT;1;10:25.55;00:01:1027;Trial;loaded;0
145;D;S3;AT;1;10:26.02;00:08:8723;MediumBar;Incorrect placement;0
145;D;S3;AT;1;10:26.09;00:15:15138;MediumBar;Correct placement;0
145;D;S3;AT;1;10:26.19;00:25:25654;MediumBar;Correct placement;1
145;D;S3;AT;1;10:26.38;00:44:44231;ShortBar;Correct placement;2
145;D;S3;AT;1;10:26.44;00:50:50094;LongBar;Correct placement;3
145;D;S3;AT;1;10:26.51;00:57:57607;ShortBar;Correct placement;4
145;D;S3;AT;1;10:26.51;00:57:57607;Trial;complete;4
145;D;S3;AT;2;10:26.57;00:01:1054;Trial;loaded;0
145;D;S3;AT;2;10:27.02;00:06:6014;MediumBar;Correct placement;0
145;D;S3;AT;2;10:27.09;00:13:13292;MediumBar;Correct placement;1
145;D;S3;AT;2;10:27.16;00:20:20387;ShortBar;Correct placement;2
145;D;S3;AT;2;10:27.23;00:27:27365;LongBar;Correct placement;3
145;D;S3;AT;2;10:27.25;00:29:29387;ShortBar;Incorrect placement;4
145;D;S3;AT;2;10:27.29;00:33:33095;ShortBar;Correct placement;4
145;D;S3;AT;2;10:27.29;00:33:33095;Trial;complete;4
145;D;S3;AT;3;10:27.33;00:01:1102;Trial;loaded;0
145;D;S3;AT;3;10:27.39;00:06:6404;MediumBar;Correct placement;0
145;D;S3;AT;3;10:27.44;00:11:11994;MediumBar;Correct placement;1
145;D;S3;AT;3;10:27.51;00:19:19239;ShortBar;Correct placement;2
145;D;S3;AT;3;10:27.55;00:22:22752;LongBar;Correct placement;3
145;D;S3;AT;3;10:27.57;00:24:24543;ShortBar;Correct placement;4
145;D;S3;AT;3;10:27.57;00:24:24543;Trial;complete;4
145;D;S3;AT;4;10:28.03;00:01:1092;Trial;loaded;0
145;D;S3;AT;4;10:28.08;00:05:5327;MediumBar;Correct placement;0
145;D;S3;AT;4;10:28.12;00:09:9452;MediumBar;Correct placement;1
145;D;S3;AT;4;10:28.15;00:13:13077;ShortBar;Correct placement;2
145;D;S3;AT;4;10:28.18;00:16:16172;LongBar;Correct placement;3
145;D;S3;AT;4;10:28.20;00:17:17853;ShortBar;Correct placement;4
145;D;S3;AT;4;10:28.20;00:17:17853;Trial;complete;4
145;D;S3;AT;5;10:28.22;00:01:1090;Trial;loaded;0
145;D;S3;AT;5;10:28.26;00:04:4760;MediumBar;Correct placement;0
145;D;S3;AT;5;10:28.29;00:08:8261;MediumBar;Incorrect placement;1
145;D;S3;AT;5;10:28.33;00:11:11371;MediumBar;Correct placement;1
145;D;S3;AT;5;10:28.37;00:15:15844;ShortBar;Correct placement;2
145;D;S3;AT;5;10:28.40;00:18:18593;LongBar;Correct placement;3
145;D;S3;AT;5;10:28.44;00:23:23037;ShortBar;Correct placement;4
145;D;S3;AT;5;10:28.44;00:23:23037;Trial;complete;4
145;D;S3;AT;6;10:28.48;00:01:1089;Trial;loaded;0
145;D;S3;AT;6;10:28.53;00:05:5508;MediumBar;Incorrect placement;0
145;D;S3;AT;6;10:28.56;00:08:8879;MediumBar;Correct placement;0
145;D;S3;AT;6;10:29.01;00:13:13466;MediumBar;Correct placement;1
145;D;S3;AT;6;10:29.10;00:22:22489;ShortBar;Correct placement;2
145;D;S3;AT;6;10:29.13;00:25:25516;LongBar;Correct placement;3
145;D;S3;AT;6;10:29.15;00:28:28114;ShortBar;Correct placement;4
145;D;S3;AT;6;10:29.15;00:28:28114;Trial;complete;4
145;D;S3;AT;8;10:30.49;00:01:1202;Trial;loaded;0
145;D;S3;AT;8;10:30.54;00:05:5799;MediumBar;Correct placement;0
145;D;S3;AT;8;10:30.57;00:09:9407;MediumBar;Correct placement;1
145;D;S3;AT;8;10:31.01;00:12:12771;ShortBar;Correct placement;2
145;D;S3;AT;8;10:31.04;00:16:16174;LongBar;Inorrect placement;n/a
145;D;S3;AT;8;10:31.07;00:19:19020;ShortBar;Inorrect placement;n/a
145;D;S3;AT;8;10:31.07;00:19:19020;Trial;complete;4
