Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
728;SA;A2;AT;1;16:24.31;00:01:1021;Trial;loaded;0
728;SA;A2;AT;1;16:25.16;00:46:46014;ShortBar;Incorrect placement;0
728;SA;A2;AT;1;16:25.25;00:55:55109;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:25.29;00:59:59361;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:25.33;01:03:63706;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:25.53;01:23:83358;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:25.59;01:29:89468;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:26.03;01:33:93302;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:26.47;02:17:137231;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:26.58;02:28:148497;MediumBar;Incorrect placement;0
728;SA;A2;AT;1;16:27.41;03:10:190848;MediumBar;Incorrect placement;0
