Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
479;WC_A2_AT;1;15:38.57;00:01:1024;Experiment;started;0
479;WC_A2_AT;1;15:39.05;00:08:8979;3_ BarYellow;Incorrect placement;0
479;WC_A2_AT;1;15:39.09;00:12:12645;3_ BarYellow;Correct placement;n/a
479;WC_A2_AT;1;15:39.09;00:12:12645;Step;completed;0
479;WC_A2_AT;1;15:39.12;00:15:15579;3_ BarYellow;Correct placement;n/a
479;WC_A2_AT;1;15:39.12;00:15:15579;Step;completed;1
479;WC_A2_AT;1;15:39.13;00:17:17301;3_ BarYellow;Incorrect placement;2
479;WC_A2_AT;1;15:39.17;00:20:20913;3_ BarYellow;Correct placement;n/a
479;WC_A2_AT;1;15:39.17;00:20:20913;Step;completed;2
479;WC_A2_AT;1;15:39.23;00:26:26945;5_BarYellow;Incorrect placement;3
479;WC_A2_AT;1;15:39.30;00:33:33923;5_BarYellow;Correct placement;n/a
479;WC_A2_AT;1;15:39.30;00:33:33923;Step;completed;3
479;WC_A2_AT;1;15:39.37;00:40:40634;5_BarYellow;Correct placement;n/a
