Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
147;Practice;1;16:02.48;00:16:16420;Experiment;started;0
147;Practice;1;16:03.01;00:29:29487;3_ BarYellow;Correct placement;n/a
147;Practice;1;16:03.01;00:29:29487;Step;completed;0
147;Practice;1;16:03.05;00:33:33487;5_BarYellow;Incorrect placement;1
147;Practice;1;16:03.12;00:39:39820;4_BarYellow;Correct placement;n/a
147;Practice;1;16:03.12;00:39:39820;Step;completed;1
147;Practice;1;16:03.15;00:43:43220;5_BarYellow;Correct placement;n/a
147;Practice;1;16:03.15;00:43:43220;Step;completed;2
147;Practice;1;16:03.19;00:46:46920;6_BarYellow;Correct placement;n/a
147;Practice;1;16:03.19;00:46:46920;Step;completed;3
147;Practice;1;16:03.23;00:50:50920;7_BarYellow;Correct placement;n/a
147;WA_A2_AT;1;16:03.34;01:01:61319;Experiment;started;0
147;WA_A2_AT;1;16:03.41;01:08:68619;5_BarYellow;Correct placement;n/a
147;WA_A2_AT;1;16:03.41;01:08:68619;Step;completed;0
147;WA_A2_AT;1;16:03.45;01:12:72319;5_BarYellow;Correct placement;n/a
147;WA_A2_AT;1;16:03.45;01:12:72319;Step;completed;1
147;WA_A2_AT;1;16:03.49;01:16:76286;8_BarYellow;Correct placement;n/a
147;WA_A2_AT;1;16:03.49;01:16:76286;Step;completed;2
147;WA_A2_AT;1;16:03.53;01:20:80752;5_BarYellow;Correct placement;n/a
147;WA_A2_AT;1;16:03.53;01:20:80752;Step;completed;3
147;WA_A2_AT;1;16:04.01;01:28:88752;5_BarYellow;Correct placement;n/a
147;WA_A2_AT;2;16:04.05;01:32:92519;Experiment;started;0
