Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
803;sceneName;n/a;n/a;1;10:56.44;00:01:1020;Experiment;started;0
803;sceneName;n/a;n/a;1;10:57.13;00:30:30309;5_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;1;10:57.21;00:38:38165;5_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;1;10:57.28;00:45:45443;8_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;1;10:57.47;01:04:64609;5_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;1;10:57.54;01:11:71976;5_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;1;10:57.54;01:11:71976;Trial;complete;4
803;sceneName;n/a;n/a;2;10:57.58;01:15:75070;Experiment;started;0
803;sceneName;n/a;n/a;2;10:58.07;01:24:84605;5_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;2;10:58.12;01:28:88816;5_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;2;10:58.33;01:50:110271;8_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;2;10:58.41;01:57:117805;5_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;2;10:58.44;02:01:121560;5_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;2;10:58.44;02:01:121560;Trial;complete;4
803;sceneName;n/a;n/a;3;10:58.48;02:04:124456;Experiment;started;0
803;sceneName;n/a;n/a;3;10:59.22;02:38:158531;5_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;3;10:59.25;02:42:162302;5_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;3;10:59.30;02:46:166434;8_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;3;10:59.33;02:49:169780;5_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;3;10:59.39;02:56:176235;5_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;3;10:59.39;02:56:176235;Trial;complete;4
803;sceneName;n/a;n/a;4;10:59.42;02:58:178884;Experiment;started;0
803;sceneName;n/a;n/a;4;10:59.52;03:09:189108;5_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;4;10:59.58;03:14:194274;5_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;4;11:00.02;03:19:199075;8_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;4;11:00.09;03:25:205332;5_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;4;11:00.19;03:35:215296;5_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;4;11:00.19;03:35:215296;Trial;complete;4
803;sceneName;n/a;n/a;5;11:00.21;03:37:217819;Experiment;started;0
803;sceneName;n/a;n/a;5;11:00.30;03:46:226609;5_BarRed;Incorrect placement;0
803;sceneName;n/a;n/a;5;11:00.34;03:50:230509;5_BarRed;Incorrect placement;0
803;sceneName;n/a;n/a;5;11:00.38;03:54:234387;5_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;5;11:00.42;03:58:238242;5_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;5;11:00.46;04:02:242297;8_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;5;11:00.50;04:06:246820;5_BarYellow;Incorrect placement;3
803;sceneName;n/a;n/a;5;11:00.55;04:10:250898;5_BarYellow;Incorrect placement;3
803;sceneName;n/a;n/a;5;11:00.59;04:15:255209;5_BarYellow;Incorrect placement;3
803;sceneName;n/a;n/a;5;11:01.03;04:18:258997;5_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;5;11:01.09;04:25:265131;5_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;5;11:01.09;04:25:265131;Trial;complete;4
803;sceneName;n/a;n/a;6;11:01.11;04:27:267361;Experiment;started;0
803;sceneName;n/a;n/a;6;11:01.17;04:32:272884;5_BarYellow;Correct placement;n/a
803;sceneName;n/a;n/a;6;11:01.20;04:35:275707;5_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;6;11:01.26;04:41:281775;8_BarRed;Incorrect placement;2
803;sceneName;n/a;n/a;6;11:01.33;04:49:289130;8_BarRed;Correct placement;n/a
803;sceneName;n/a;n/a;6;11:01.52;05:08:308574;5_BarGreen;Correct placement;n/a
803;sceneName;n/a;n/a;6;11:01.58;05:14:314551;5_BarBlue;Correct placement;n/a
803;sceneName;n/a;n/a;6;11:01.58;05:14:314551;Trial;complete;4
803;sceneName;n/a;n/a;8;11:02.07;05:22:322820;Experiment;started;0
