Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
637;WB_A2_AT;1;10:04.06;00:01:1020;Experiment;started;0
637;WB_A2_AT;1;10:04.26;00:21:21660;8_BarYellow;Incorrect placement;0
637;WB_A2_AT;1;10:04.43;00:38:38015;5_BarYellow;Correct placement;n/a
637;WB_A2_AT;1;10:04.43;00:38:38015;Step;completed;0
637;WB_A2_AT;1;10:04.50;00:45:45171;5_BarYellow;Incorrect placement;1
637;WB_A2_AT;1;10:04.54;00:49:49670;5_BarYellow;Incorrect placement;1
637;WB_A2_AT;1;10:04.59;00:53:53770;5_BarYellow;Correct placement;n/a
637;WB_A2_AT;1;10:04.59;00:53:53770;Step;completed;1
637;WB_A2_AT;1;10:05.03;00:58:58437;5_BarYellow;Incorrect placement;2
637;WB_A2_AT;1;10:06.31;02:23:143617;8_BarYellow;Incorrect placement;2
637;WB_A2_AT;1;10:06.37;02:29:149651;8_BarYellow;Incorrect placement;2
637;WB_A2_AT;1;10:06.45;02:37:157796;5_BarYellow;Correct placement;n/a
637;WB_A2_AT;1;10:06.45;02:37:157796;Step;completed;2
