Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
214;A;A3;AT;1;14:18.21;00:01:1034;Trial;loaded;0
214;A;A3;AT;1;14:20.14;01:54:114287;MediumBar;Correct placement;0
214;A;A3;AT;1;14:20.30;02:09:129834;ShortBar;Correct placement;1
214;A;A3;AT;1;14:20.49;02:28:148901;LongBar;Correct placement;2
214;A;A3;AT;1;14:20.59;02:38:158759;LongBar;Incorrect placement;3
214;A;A3;AT;1;14:22.20;03:59:239542;LongBar;Incorrect placement;3
214;A;A3;AT;1;14:22.28;04:06:246859;LongBar;Correct placement;3
214;A;A3;AT;1;14:22.39;04:17:257886;ShortBar;Correct placement;4
214;A;A3;AT;1;14:22.39;04:17:257886;Trial;complete;4
214;A;A3;AT;2;14:22.46;00:01:1057;Trial;loaded;0
214;A;A3;AT;2;14:22.56;00:11:11761;MediumBar;Correct placement;0
214;A;A3;AT;2;14:23.00;00:15:15555;ShortBar;Correct placement;1
214;A;A3;AT;2;14:23.09;00:24:24814;LongBar;Correct placement;2
214;A;A3;AT;2;14:23.18;00:33:33186;LongBar;Correct placement;3
214;A;A3;AT;2;14:24.17;01:32:92315;ShortBar;Correct placement;4
214;A;A3;AT;2;14:24.17;01:32:92315;Trial;complete;4
214;A;A3;AT;3;14:24.39;00:01:1304;Trial;loaded;0
214;A;A3;AT;3;14:24.54;00:14:14964;LongBar;Incorrect placement;0
214;A;A3;AT;3;14:25.05;00:25:25710;MediumBar;Correct placement;0
214;A;A3;AT;3;14:25.11;00:31:31804;ShortBar;Correct placement;1
214;A;A3;AT;3;14:25.17;00:37:37495;LongBar;Correct placement;2
214;A;A3;AT;3;14:25.21;00:41:41993;ShortBar;Incorrect placement;3
214;A;A3;AT;3;14:25.45;01:06:66008;LongBar;Correct placement;3
214;A;A3;AT;3;14:26.18;01:38:98852;ShortBar;Incorrect placement;4
214;A;A3;AT;3;14:26.28;01:48:108597;ShortBar;Incorrect placement;4
214;A;A3;AT;3;14:26.31;01:51:111850;ShortBar;Correct placement;4
214;A;A3;AT;3;14:26.31;01:51:111850;Trial;complete;4
214;A;A3;AT;4;14:27.08;00:01:1220;Trial;loaded;0
