Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
876;SA;A2;AT;1;09:44.54;00:01:1029;Trial;loaded;0
876;SA;A2;AT;1;09:45.06;00:13:13496;MediumBar;Correct placement;0
876;SA;A2;AT;1;09:45.10;00:17:17317;ShortBar;Correct placement;1
876;SA;A2;AT;1;09:45.15;00:22:22820;LongBar;Correct placement;2
876;SA;A2;AT;1;09:45.21;00:28:28536;LongBar;Correct placement;3
876;SA;A2;AT;1;09:45.25;00:32:32803;ShortBar;Correct placement;4
876;SA;A2;AT;1;09:45.25;00:32:32803;Trial;complete;4
876;SA;A2;AT;2;09:45.28;00:01:1042;Trial;loaded;0
876;SA;A2;AT;2;09:45.31;00:04:4274;MediumBar;Correct placement;0
876;SA;A2;AT;2;09:45.34;00:07:7402;ShortBar;Correct placement;1
876;SA;A2;AT;2;09:45.39;00:12:12281;LongBar;Correct placement;2
876;SA;A2;AT;2;09:45.45;00:17:17695;LongBar;Correct placement;3
876;SA;A2;AT;2;09:45.48;00:20:20983;ShortBar;Incorrect placement;4
876;SA;A2;AT;2;09:45.51;00:24:24225;ShortBar;Correct placement;4
876;SA;A2;AT;2;09:45.51;00:24:24225;Trial;complete;4
876;SA;A2;AT;3;09:45.54;00:01:1051;Trial;loaded;0
876;SA;A2;AT;3;09:46.14;00:21:21102;MediumBar;Correct placement;0
876;SA;A2;AT;3;09:46.18;00:25:25537;ShortBar;Correct placement;1
876;SA;A2;AT;3;09:46.24;00:31:31462;LongBar;Correct placement;2
876;SA;A2;AT;3;09:46.27;00:34:34235;LongBar;Correct placement;3
876;SA;A2;AT;3;09:46.29;00:36:36379;ShortBar;Correct placement;4
876;SA;A2;AT;3;09:46.29;00:36:36379;Trial;complete;4
876;SA;A2;AT;4;09:46.32;00:01:1039;Trial;loaded;0
