Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
923;WA;A2;AT;1;09:53.02;00:01:1021;Experiment;started;0
923;WA;A2;AT;1;09:53.22;00:20:20488;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;1;09:53.24;00:23:23244;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;1;09:53.31;00:29:29743;8_BarYellow;Correct placement;n/a
923;WA;A2;AT;1;09:53.34;00:33:33131;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;1;09:53.36;00:35:35388;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;1;09:53.36;00:35:35388;Trial;complete;4
923;WA;A2;AT;2;09:53.42;00:40:40476;Experiment;started;0
923;WA;A2;AT;2;09:53.46;00:44:44656;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;2;09:53.48;00:46:46944;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;2;09:53.53;00:51:51888;8_BarYellow;Correct placement;n/a
923;WA;A2;AT;2;09:53.56;00:54:54488;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;2;09:53.59;00:57:57500;5_BarYellow;Incorrect placement;4
923;WA;A2;AT;2;09:54.02;01:01:61089;5_BarYellow;Correct placement;n/a
923;WA;A2;AT;2;09:54.02;01:01:61089;Trial;complete;4
923;WA;A2;AT;3;09:54.07;01:05:65326;Experiment;started;0
