Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
974;WH_A2_AT;8;15:12.43;00:01:1025;Experiment;started;0
974;WH_A2_AT;8;15:12.47;00:04:4260;Step;completed;0
974;WH_A2_AT;8;15:12.47;00:04:4571;8_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:12.52;00:09:9293;Step;completed;1
974;WH_A2_AT;8;15:12.52;00:09:9604;7_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:12.58;00:15:15571;Step;completed;2
974;WH_A2_AT;8;15:12.58;00:15:15881;5_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.02;00:19:19281;Step;completed;3
974;WH_A2_AT;8;15:13.02;00:19:19582;8_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.06;00:23:23471;5_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.16;00:33:33316;7_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.17;00:34:34915;7_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.18;00:35:35903;7_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.19;00:36:36647;7_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.20;00:37:37548;8_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.21;00:38:38370;7_BarYellow;Inorrect placement;n/a
974;WH_A2_AT;8;15:13.21;00:39:39015;8_BarYellow;Inorrect placement;n/a
