Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
224;sceneName;n/a;n/a;1;10:07.19;00:01:1025;Experiment;started;0
224;sceneName;n/a;n/a;1;10:07.27;00:09:9115;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;1;10:07.29;00:10:10748;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;1;10:07.33;00:15:15238;8_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;1;10:07.35;00:17:17070;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;1;10:07.36;00:18:18459;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;1;10:07.36;00:18:18459;Trial;complete;4
224;sceneName;n/a;n/a;2;10:07.40;00:21:21574;Experiment;started;0
224;sceneName;n/a;n/a;2;10:07.41;00:23:23154;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;2;10:07.42;00:24:24231;5_BarYellow;Incorrect placement;1
224;sceneName;n/a;n/a;2;10:07.46;00:27:27498;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;2;10:07.48;00:29:29665;8_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;2;10:07.50;00:31:31654;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;2;10:07.52;00:33:33998;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;2;10:07.52;00:33:33998;Trial;complete;4
224;sceneName;n/a;n/a;3;10:07.55;00:36:36322;Experiment;started;0
224;sceneName;n/a;n/a;3;10:07.58;00:39:39222;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;3;10:07.59;00:40:40422;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;3;10:08.02;00:43:43422;8_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;3;10:08.03;00:44:44600;5_BarYellow;Incorrect placement;3
224;sceneName;n/a;n/a;3;10:08.06;00:47:47978;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;3;10:08.08;00:49:49701;5_BarYellow;Correct placement;n/a
224;sceneName;n/a;n/a;3;10:08.08;00:49:49701;Trial;complete;4
224;sceneName;n/a;n/a;4;10:08.11;00:52:52645;Experiment;started;0
