Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
491;WH_A2_AT;8;15:06.31;00:01:1029;Experiment;started;0
491;WH_A2_AT;8;15:06.38;00:08:8085;Step;completed;0
491;WH_A2_AT;8;15:06.38;00:08:8085;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8101;Step;completed;1
491;WH_A2_AT;8;15:06.38;00:08:8101;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8112;Step;completed;2
491;WH_A2_AT;8;15:06.38;00:08:8112;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8123;Step;completed;3
491;WH_A2_AT;8;15:06.38;00:08:8123;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8133;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8146;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8155;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8164;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8175;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8187;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8199;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8208;4_BarYellow;Inorrect placement;n/a
491;WH_A2_AT;8;15:06.38;00:08:8219;4_BarYellow;Inorrect placement;n/a
