Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_in_trial;Category;Action;Errortype;Step;TimeSinceLastEvent
12369;Practice;n/a;n/a;1;12:36.22;0;Trial;loaded;n/a;0;0
12369;Practice;n/a;n/a;1;12:36.25;3919;ShortBar;Correct placement;n/a;0;3919
12369;Practice;n/a;n/a;1;12:36.28;6154;ShortBar;Correct placement;n/a;1;2235
12369;Practice;n/a;n/a;1;12:36.30;8211;MediumBar;Correct placement;n/a;2;2057
12369;Practice;n/a;n/a;1;12:36.32;10407;LongBar;Correct placement;n/a;3;2196
12369;Practice;n/a;n/a;1;12:36.34;12727;LongBar;Correct placement;n/a;4;2320
12369;Practice;n/a;n/a;1;12:36.34;12727;Trial;complete;n/a;4;0
12369;PracticeColor;n/a;n/a;1;12:36.36;0;Trial;loaded;n/a;0;-12727
12369;PracticeColor;n/a;n/a;1;12:36.39;2849;ShortBar;Error;color;0;2849
12369;PracticeColor;n/a;n/a;1;12:36.41;4279;Trial;continued;n/a;0;1430
12369;B;A3;AT;1;12:36.53;0;Trial;loaded;n/a;0;-4279
12369;B;A3;AT;1;12:36.57;3913;Trial;started;n/a;0;3913
12369;B;A3;AT;1;12:37.03;9607;ShortBar;Correct placement;n/a;0;5694
12369;B;A3;AT;1;12:37.08;14927;MediumBar;Correct placement;n/a;1;5319
12369;B;A3;AT;1;12:37.13;19178;ShortBar;Correct placement;n/a;2;4251
12369;B;A3;AT;1;12:37.15;21288;ShortBar;Error;placement;3;2111
12369;B;A3;AT;1;12:37.16;22552;Trial;continued;n/a;3;1263
12369;B;A3;AT;1;12:37.21;28079;MediumBar;Correct placement;n/a;3;5527
12369;B;A3;AT;1;12:37.29;35353;LongBar;Correct placement;n/a;4;7275
12369;B;A3;AT;1;12:37.29;35353;Trial;complete;n/a;4;0
12369;B;A3;AT;2;12:37.32;0;Trial;loaded;n/a;0;-35353
12369;B;A3;AT;2;12:37.32;319;Trial;started;n/a;0;319
12369;B;A3;AT;2;12:37.36;4391;ShortBar;Correct placement;n/a;0;4072
12369;B;A3;AT;2;12:37.41;8975;MediumBar;Correct placement;n/a;1;4584
12369;B;A3;AT;2;12:37.44;12212;ShortBar;Correct placement;n/a;2;3237
12369;B;A3;AT;2;12:37.50;18436;MediumBar;Correct placement;n/a;3;6223
12369;B;A3;AT;2;12:37.57;25211;LongBar;Error;placement;4;6775
12369;B;A3;AT;2;12:38.00;28391;Trial;continued;n/a;4;3180
12369;B;A3;AT;2;12:38.02;30738;LongBar;Correct placement;n/a;4;2347
12369;B;A3;AT;2;12:38.02;30738;Trial;complete;n/a;4;0
12369;B;A3;AT;3;12:38.05;0;Trial;loaded;n/a;0;-30738
