Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
652;A;A3;AT;1;14:55.54;00:01:1031;Trial;loaded;0
652;A;A3;AT;1;14:57.04;01:10:70851;MediumBar;Correct placement;0
652;A;A3;AT;1;15:01.43;05:49:349181;ShortBar;Correct placement;1
652;A;A3;AT;1;15:02.14;06:20:380832;LongBar;Incorrect placement;2
652;A;A3;AT;1;15:02.47;06:53:413361;LongBar;Correct placement;2
652;A;A3;AT;1;15:06.18;10:24:624359;LongBar;Correct placement;3
652;A;A3;AT;1;15:06.30;10:35:635924;ShortBar;Correct placement;4
652;A;A3;AT;1;15:06.30;10:35:635924;Trial;complete;4
652;A;A3;AT;2;15:06.34;00:01:1081;Trial;loaded;0
652;A;A3;AT;2;15:07.23;00:49:49957;MediumBar;Correct placement;0
652;A;A3;AT;2;15:07.34;01:00:60818;ShortBar;Correct placement;1
652;A;A3;AT;2;15:07.45;01:11:71486;LongBar;Correct placement;2
652;A;A3;AT;2;15:07.51;01:17:77638;LongBar;Correct placement;3
652;A;A3;AT;2;15:08.05;01:32:92011;ShortBar;Incorrect placement;4
652;A;A3;AT;2;15:08.12;01:38:98942;ShortBar;Correct placement;4
652;A;A3;AT;2;15:08.12;01:38:98942;Trial;complete;4
652;A;A3;AT;3;15:08.16;00:01:1217;Trial;loaded;0
