Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
403;E;A3;AT;1;13:31.13;00:01:1023;Trial;loaded;0
403;E;A3;AT;1;13:31.41;00:28:28858;ShortBar;Correct placement;0
403;E;A3;AT;1;13:32.18;01:05:65657;LongBar;Correct placement;1
403;E;A3;AT;1;13:32.29;01:17:77028;MediumBar;Correct placement;2
403;E;A3;AT;1;13:32.51;01:38:98813;ShortBar;Correct placement;3
403;E;A3;AT;1;13:33.01;01:49:109283;LongBar;Incorrect placement;4
403;E;A3;AT;1;13:33.07;01:54:114606;LongBar;Correct placement;4
403;E;A3;AT;1;13:33.07;01:54:114606;Trial;complete;4
403;E;A3;AT;2;13:33.20;00:01:1052;Trial;loaded;0
403;E;A3;AT;2;13:33.31;00:11:11600;ShortBar;Incorrect placement;0
403;E;A3;AT;2;13:33.50;00:30:30623;ShortBar;Correct placement;0
403;E;A3;AT;2;13:33.58;00:38:38631;LongBar;Correct placement;1
