Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
861;SA;A2;AT;1;16:42.57;00:01:1028;Trial;loaded;0
861;SA;A2;AT;1;16:43.02;00:06:6390;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:43.09;00:13:13141;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:43.13;00:16:16587;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.01;01:04:64886;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.08;01:11:71861;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.11;01:15:75346;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.25;01:29:89017;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.29;01:33:93060;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.33;01:36:96490;MediumBar;Incorrect placement;0
861;SA;A2;AT;1;16:44.36;01:39:99851;MediumBar;Incorrect placement;0
